status	seconds	page	total	suspect_md	pdf	page_txt
ok	0.81	1	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0001.txt
ok	2.88	2	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0002.txt
ok	2.1	3	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0003.txt
ok	1.74	4	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0004.txt
ok	1.81	5	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0005.txt
ok	4.1	6	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0006.txt
ok	4.04	7	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0007.txt
ok	3.7	8	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0008.txt
ok	3.82	9	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0009.txt
ok	3.96	10	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0010.txt
ok	4.27	11	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0011.txt
ok	4.06	12	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0012.txt
ok	4.13	13	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0013.txt
ok	4.2	14	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0014.txt
ok	0.73	15	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0015.txt
ok	1.34	16	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0016.txt
ok	1.55	17	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0017.txt
ok	2.37	18	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0018.txt
ok	3.77	19	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0019.txt
ok	4.18	20	86	Biologia - Maturana - Autopoiesis e cognição - a4a5f96333.md	/Volumes/Documentos HD/Documento HD/Meu Trabalho/Estudos Acadêmicos/referencias-pdf/Biologia/Maturana - Autopoiesis e cognição.pdf	ocr-reconvertidos-rapid/_page-ocr/Maturana - Autopoiesis e cognição/0020.txt
